carat,cut,color,clarity,price,x,y,z,volume
0.7,Ideal,E,SI1,2768,5.73,5.76,3.5,115.52
0.71,Premium,D,SI2,2768,5.71,5.67,3.51,113.64
0.74,Ideal,I,SI1,2769,5.82,5.86,3.57,121.76
0.71,Premium,D,VS2,2770,5.65,5.61,3.52,111.57
0.73,Premium,G,VS2,2770,5.83,5.76,3.56,119.55
0.76,Very Good,F,SI1,2770,5.79,5.81,3.65,122.79
0.76,Ideal,D,SI2,2770,5.78,5.83,3.62,121.98
0.71,Ideal,F,SI1,2770,5.77,5.8,3.51,117.47
0.73,Premium,G,VS2,2770,5.87,5.82,3.55,121.28
0.73,Premium,G,VS1,2770,5.79,5.75,3.55,118.19
0.73,Ideal,D,SI2,2770,5.92,5.89,3.54,123.44
0.73,Premium,G,VS2,2770,5.92,5.87,3.49,121.28
0.72,Very Good,H,VVS2,2771,5.81,5.83,3.51,118.89
0.73,Very Good,F,SI1,2771,5.79,5.82,3.58,120.64
0.71,Ideal,G,VS2,2771,5.73,5.77,3.56,117.7
0.79,Ideal,F,SI2,2771,5.97,5.92,3.68,130.06
0.73,Very Good,H,VVS1,2772,5.83,5.89,3.54,121.56
0.8,Very Good,F,SI2,2772,6.01,6.03,3.67,133.0
0.58,Ideal,G,VVS1,2772,5.39,5.44,3.33,97.64
0.58,Ideal,F,VVS1,2772,5.33,5.37,3.3,94.45
0.71,Good,E,VS2,2772,5.8,5.88,3.46,118.0
0.75,Ideal,D,SI2,2773,5.85,5.89,3.6,124.04
0.7,Premium,D,VS2,2773,5.87,5.78,3.38,114.68
1.17,Very Good,J,I1,2774,6.83,6.9,4.13,194.63
0.6,Ideal,E,VS1,2774,5.41,5.44,3.35,98.59
0.7,Ideal,E,SI1,2774,5.68,5.74,3.58,116.72
0.83,Good,I,VS2,2774,5.85,5.88,3.79,130.37
0.74,Very Good,F,VS2,2775,5.8,5.84,3.57,120.92
0.72,Very Good,G,VS2,2776,5.62,5.69,3.61,115.44
0.71,Premium,E,VS2,2776,5.74,5.68,3.58,116.72
0.71,Ideal,E,VS2,2776,5.79,5.62,3.55,115.52
0.54,Ideal,E,VVS2,2776,5.25,5.27,3.24,89.64
0.54,Ideal,E,VVS2,2776,5.24,5.26,3.23,89.03
0.72,Ideal,G,SI1,2776,5.72,5.75,3.55,116.76
0.72,Ideal,G,SI1,2776,5.79,5.82,3.53,118.95
0.72,Good,G,VS2,2776,5.8,5.84,3.47,117.54
0.71,Ideal,G,SI1,2776,5.8,5.76,3.5,116.93
0.7,Very Good,D,VS1,2777,5.66,5.73,3.57,115.78
0.71,Premium,F,VS2,2777,5.67,5.7,3.53,114.09
0.71,Very Good,F,VS2,2777,5.64,5.69,3.56,114.25
0.71,Good,F,VS2,2777,5.61,5.64,3.59,113.59
0.71,Good,F,VS2,2777,5.87,5.9,3.4,117.75
0.7,Ideal,E,VS2,2777,5.7,5.67,3.53,114.09
0.7,Premium,E,VS2,2777,5.71,5.64,3.47,111.75
0.7,Premium,E,SI1,2777,5.79,5.75,3.46,115.19
0.7,Premium,E,SI1,2777,5.73,5.68,3.49,113.59
0.7,Premium,E,SI1,2777,5.67,5.63,3.54,113.0
0.7,Premium,E,SI1,2777,5.73,5.68,3.48,113.26
0.7,Premium,E,SI1,2777,5.78,5.72,3.51,116.05
0.7,Ideal,E,SI1,2777,5.76,5.7,3.52,115.57
0.72,Premium,F,SI1,2777,5.82,5.71,3.56,118.31
0.7,Very Good,E,SI1,2777,5.76,5.7,3.43,112.61
0.7,Premium,E,SI1,2777,5.71,5.68,3.49,113.19
0.7,Premium,E,SI1,2777,5.77,5.74,3.48,115.26
0.7,Good,E,VS2,2777,5.64,5.59,3.6,113.5
0.98,Fair,H,SI2,2777,6.05,5.97,4.08,147.36
0.78,Premium,F,SI1,2777,5.83,5.8,3.63,122.74
0.7,Very Good,E,SI1,2777,5.6,5.51,3.51,108.3
0.52,Ideal,F,VVS1,2778,5.19,5.22,3.19,86.42
0.73,Very Good,H,VS2,2779,5.82,5.84,3.55,120.66
0.74,Ideal,E,SI1,2779,5.84,5.8,3.59,121.6
0.7,Very Good,F,VS2,2780,5.61,5.65,3.58,113.47
0.77,Premium,G,VS2,2780,5.9,5.93,3.62,126.65
0.71,Ideal,F,VS2,2780,5.68,5.72,3.54,115.01
0.74,Ideal,G,VS1,2780,5.81,5.86,3.59,122.23
0.7,Ideal,G,VS1,2780,5.64,5.73,3.49,112.79
1.01,Premium,F,I1,2781,6.39,6.36,3.94,160.12
0.77,Ideal,H,SI1,2781,5.83,5.88,3.64,124.78
0.78,Ideal,H,SI1,2781,5.92,5.99,3.64,129.08
0.72,Very Good,H,VS1,2782,5.83,5.76,3.51,117.87
0.53,Very Good,D,VVS2,2782,5.34,5.37,3.08,88.32
0.76,Ideal,G,VS2,2782,5.9,5.94,3.63,127.22
0.7,Good,E,VS1,2782,5.81,5.77,3.31,110.96
0.7,Premium,E,VS1,2782,5.62,5.54,3.51,109.28
0.75,Very Good,D,SI2,2782,5.78,5.73,3.63,120.22
0.72,Ideal,D,SI1,2782,5.76,5.75,3.5,115.92
0.72,Premium,D,SI1,2782,5.73,5.69,3.58,116.72
0.7,Premium,D,SI1,2782,5.68,5.66,3.56,114.45
0.84,Fair,G,SI1,2782,6.39,6.2,3.47,137.47
0.75,Premium,F,SI1,2782,5.88,5.85,3.6,123.83
0.52,Ideal,F,IF,2783,5.14,5.18,3.21,85.47
0.72,Very Good,F,VS2,2784,5.69,5.73,3.6,117.37
0.79,Very Good,H,VS1,2784,5.85,5.92,3.75,129.87
0.72,Very Good,F,VS2,2787,5.66,5.69,3.61,116.26
0.51,Ideal,F,VVS1,2787,5.11,5.15,3.18,83.69
0.64,Ideal,D,VS1,2787,5.54,5.55,3.41,104.85
0.7,Very Good,H,VVS1,2788,5.74,5.77,3.48,115.26
0.83,Very Good,I,VS1,2788,6.07,6.1,3.72,137.74
0.76,Ideal,I,VVS2,2788,5.85,5.87,3.62,124.31
0.71,Good,D,VS2,2788,5.64,5.68,3.58,114.69
0.77,Good,G,VS1,2788,5.97,5.92,3.53,124.76
0.71,Ideal,F,SI1,2788,5.71,5.65,3.55,114.53
1.01,Fair,E,I1,2788,6.29,6.21,4.03,157.42
1.01,Premium,H,SI2,2788,6.31,6.22,3.93,154.25
0.77,Good,F,SI1,2789,5.81,5.77,3.72,124.71
0.76,Good,E,SI1,2789,5.76,5.85,3.7,124.68
0.76,Premium,E,SI1,2789,5.92,5.94,3.58,125.89
0.76,Premium,E,SI1,2789,5.82,5.86,3.61,123.12
1.05,Very Good,J,SI2,2789,6.49,6.45,4.09,171.21
0.81,Ideal,G,SI2,2789,5.97,6.01,3.69,132.4
0.7,Ideal,E,SI1,2789,5.72,5.75,3.53,116.1
0.55,Ideal,G,IF,2789,5.28,5.3,3.22,90.11
0.81,Good,G,SI2,2789,5.94,5.99,3.64,129.51
0.63,Premium,E,VVS2,2789,5.48,5.41,3.38,100.21
0.63,Premium,E,VVS1,2789,5.55,5.52,3.37,103.24
0.77,Premium,H,VS1,2789,5.9,5.88,3.61,125.24
1.05,Fair,J,SI2,2789,6.41,6.27,4.18,168.0
0.64,Ideal,G,IF,2790,5.54,5.58,3.41,105.41
0.76,Premium,I,VVS1,2790,6.0,5.94,3.51,125.1
0.83,Ideal,F,SI2,2790,6.02,6.05,3.76,136.94
0.71,Premium,F,VS1,2790,5.77,5.74,3.46,114.59
0.71,Premium,F,VS1,2790,5.73,5.69,3.53,115.09
0.87,Very Good,I,SI1,2791,6.07,6.1,3.87,143.29
0.73,Ideal,E,SI1,2791,5.74,5.78,3.58,118.77
0.71,Premium,E,SI1,2792,5.83,5.86,3.46,118.21
0.71,Premium,E,SI1,2792,5.7,5.75,3.54,116.02
0.71,Ideal,E,SI1,2792,5.72,5.77,3.52,116.18
0.7,Premium,F,VS1,2792,5.71,5.65,3.53,113.88
0.7,Premium,F,VS1,2792,5.78,5.75,3.5,116.32
0.76,Premium,H,VVS2,2792,5.91,5.86,3.51,121.56
0.7,Ideal,F,VS1,2792,5.73,5.68,3.55,115.54
0.79,Very Good,G,SI1,2793,5.98,6.06,3.65,132.27
0.7,Very Good,E,VS2,2793,5.66,5.69,3.57,114.97
0.7,Good,E,VS2,2793,5.6,5.66,3.61,114.42
0.76,Ideal,I,VS2,2793,5.87,5.91,3.61,125.24
0.73,Ideal,H,VS2,2793,5.72,5.76,3.6,118.61
0.79,Very Good,E,SI1,2794,5.91,5.86,3.72,128.83
0.71,Very Good,E,VS2,2795,5.81,5.82,3.53,119.36
0.81,Premium,I,VVS2,2795,5.91,5.86,3.64,126.06
0.81,Ideal,F,SI2,2795,5.92,5.96,3.72,131.25
0.72,Good,F,VS1,2795,5.74,5.72,3.48,114.26
0.72,Premium,D,SI2,2795,5.73,5.69,3.54,115.42
0.72,Premium,I,IF,2795,5.72,5.7,3.6,117.37
0.81,Premium,H,VS2,2795,6.17,6.13,3.57,135.02
0.72,Premium,G,VS2,2795,5.73,5.65,3.58,115.9
1.0,Premium,I,SI2,2795,6.61,6.55,3.83,165.82
0.73,Good,E,SI1,2796,5.7,5.76,3.62,118.85
0.81,Very Good,H,SI2,2797,5.94,6.01,3.66,130.66
0.81,Very Good,E,SI1,2797,6.07,6.1,3.67,135.89
0.71,Premium,D,SI1,2797,5.67,5.71,3.57,115.58
0.71,Premium,D,SI1,2797,5.73,5.75,3.52,115.98
0.71,Premium,D,SI1,2797,5.74,5.69,3.52,114.97
0.57,Ideal,F,VVS2,2797,5.34,5.35,3.31,94.56
0.51,Ideal,D,VVS1,2797,5.12,5.16,3.17,83.75
0.72,Ideal,G,VS2,2797,5.72,5.75,3.55,116.76
0.74,Ideal,H,VS1,2797,5.77,5.81,3.58,120.01
0.74,Ideal,H,VS1,2797,5.81,5.82,3.58,121.05
0.7,Fair,G,VVS1,2797,5.81,5.9,3.44,117.92
0.8,Premium,F,SI2,2797,6.03,6.01,3.67,133.0
1.01,Fair,E,SI2,2797,6.19,6.05,4.13,154.67
0.8,Very Good,H,VS2,2797,5.92,5.82,3.72,128.17
0.77,Ideal,I,VS1,2798,5.87,5.91,3.62,125.58
0.83,Very Good,E,SI2,2799,6.19,6.25,3.61,139.66
0.82,Ideal,F,SI2,2799,5.97,6.02,3.74,134.41
0.78,Ideal,D,SI1,2799,5.91,5.86,3.64,126.06
0.6,Very Good,G,IF,2800,5.43,5.46,3.35,99.32
0.9,Good,I,SI2,2800,6.07,6.11,3.79,140.56
0.7,Premium,E,VS1,2800,5.6,5.66,3.5,110.94
0.9,Very Good,I,SI2,2800,6.17,6.23,3.8,146.07
0.83,Ideal,G,SI1,2800,5.99,6.08,3.76,136.94
0.83,Ideal,G,SI1,2800,6.03,6.07,3.74,136.89
0.83,Very Good,H,SI1,2800,5.95,6.02,3.74,133.96
0.74,Premium,G,VS1,2800,5.74,5.68,3.59,117.05
0.79,Ideal,I,VS1,2800,5.92,5.95,3.67,129.27
0.61,Ideal,G,IF,2800,5.43,5.45,3.39,100.32
0.76,Fair,G,VS1,2800,5.89,5.8,3.46,118.2
0.96,Ideal,F,I1,2801,6.37,6.41,3.88,158.43
0.73,Ideal,F,VS2,2801,5.8,5.76,3.61,120.6
0.73,Premium,F,VS2,2801,5.76,5.7,3.59,117.87
0.75,Ideal,H,SI1,2801,5.93,5.96,3.59,126.88
0.71,Premium,F,VS2,2801,5.7,5.67,3.53,114.09
0.71,Good,F,VS2,2801,5.9,5.87,3.4,117.75
0.71,Good,F,VS2,2801,5.64,5.61,3.59,113.59
0.71,Premium,F,VS2,2801,5.69,5.64,3.56,114.25
1.04,Premium,G,I1,2801,6.46,6.41,4.0,165.63
1.0,Premium,J,SI2,2801,6.45,6.34,3.98,162.75
0.87,Very Good,G,SI2,2802,6.19,6.23,3.72,143.46
0.53,Ideal,F,IF,2802,5.22,5.25,3.24,88.79
0.72,Premium,E,VS2,2802,5.79,5.61,3.59,116.61
0.72,Premium,F,VS1,2802,5.83,5.7,3.6,119.63
0.7,Very Good,F,VS2,2803,5.63,5.65,3.55,112.92
0.74,Very Good,E,SI1,2803,5.74,5.79,3.66,121.64
0.71,Ideal,G,VS2,2803,5.75,5.71,3.51,115.24
0.73,Ideal,E,SI1,2803,5.84,5.89,3.55,122.11
0.7,Good,G,VS1,2803,5.56,5.59,3.63,112.82
0.71,Premium,F,VS2,2803,5.7,5.67,3.56,115.06
0.71,Premium,F,VS2,2803,5.85,5.81,3.38,114.88
0.71,Premium,G,VS1,2803,5.7,5.65,3.54,114.01
0.77,Premium,G,VS2,2803,5.93,5.88,3.62,126.22
0.71,Premium,G,VS2,2803,5.81,5.77,3.47,116.33
0.78,Premium,G,VS2,2803,6.03,5.95,3.64,130.6
0.71,Very Good,G,VS1,2803,5.66,5.64,3.59,114.6
0.91,Ideal,D,SI2,2803,6.21,6.15,3.85,147.04
0.71,Very Good,E,VS2,2804,5.62,5.66,3.6,114.51
0.71,Very Good,E,VS2,2804,5.66,5.68,3.63,116.7
0.8,Very Good,E,SI2,2804,5.88,5.96,3.7,129.67
0.7,Very Good,D,SI1,2804,5.69,5.73,3.56,116.07
0.72,Ideal,F,VS1,2804,5.74,5.77,3.55,117.58
0.72,Very Good,F,VS1,2804,5.75,5.7,3.56,116.68
0.82,Ideal,H,VS2,2804,6.01,6.08,3.72,135.93
0.7,Ideal,D,SI1,2804,5.68,5.7,3.47,112.34
0.72,Ideal,D,SI1,2804,5.74,5.77,3.58,118.57
0.72,Ideal,D,SI1,2804,5.77,5.8,3.56,119.14
0.9,Fair,I,SI1,2804,5.93,5.84,3.96,137.14
0.74,Premium,F,VS2,2805,5.85,5.78,3.59,121.39
0.74,Premium,F,VS2,2805,5.8,5.77,3.58,119.81
0.73,Ideal,E,SI2,2805,5.77,5.81,3.58,120.01
0.57,Fair,E,VVS1,2805,5.34,5.43,3.16,91.63
0.73,Premium,F,VS2,2805,5.75,5.7,3.58,117.33
0.72,Ideal,G,VS2,2805,5.74,5.7,3.59,117.46
0.74,Fair,F,VS2,2805,5.82,5.75,3.53,118.13
0.82,Good,G,VS2,2805,5.92,5.89,3.78,131.8
0.81,Very Good,G,SI1,2806,5.89,5.94,3.69,129.1
0.75,Very Good,H,VVS1,2806,5.85,5.9,3.56,122.87
0.7,Ideal,F,SI1,2806,5.72,5.74,3.53,115.9
0.71,Very Good,F,VS1,2807,5.66,5.72,3.54,114.61
0.71,Very Good,F,VS1,2807,5.84,5.9,3.52,121.29
0.93,Premium,J,SI2,2807,6.21,6.19,3.84,147.61
0.8,Very Good,H,VS2,2808,5.87,5.91,3.7,128.36
0.7,Very Good,F,VS1,2808,5.64,5.71,3.52,113.36
1.0,Fair,G,I1,2808,6.16,6.09,4.07,152.68
0.75,Very Good,G,VS2,2808,5.78,5.74,3.65,121.1
0.58,Ideal,E,VVS2,2808,5.41,5.43,3.3,96.94
0.73,Very Good,D,SI1,2808,5.74,5.7,3.61,118.11
0.81,Very Good,F,SI1,2809,5.85,5.79,3.67,124.31
0.81,Premium,D,SI2,2809,6.15,6.05,3.61,134.32
0.71,Premium,F,SI1,2809,5.84,5.8,3.53,119.57
1.2,Fair,F,I1,2809,6.73,6.66,4.33,194.08
0.7,Very Good,F,VS1,2810,5.63,5.7,3.5,112.32
0.7,Very Good,F,VS1,2810,5.77,5.84,3.48,117.26
0.74,Ideal,D,SI2,2810,5.81,5.85,3.6,122.36
0.7,Good,F,VS1,2810,5.57,5.61,3.51,109.68
0.8,Good,G,SI1,2810,5.84,5.93,3.69,127.79
0.75,Very Good,F,SI1,2811,5.72,5.76,3.64,119.93
0.83,Very Good,D,SI1,2811,5.98,5.95,3.79,134.85
1.0,Fair,J,VS2,2811,6.14,6.07,4.01,149.45
0.99,Fair,I,SI2,2811,6.21,6.06,4.18,157.3
0.7,Very Good,G,VS1,2812,5.57,5.64,3.53,110.89
0.7,Very Good,F,VS2,2812,5.75,5.85,3.45,116.05
0.7,Good,E,SI1,2812,5.49,5.53,3.5,106.26
0.7,Very Good,F,VS2,2812,5.63,5.69,3.49,111.8
0.32,Premium,I,SI1,554,4.37,4.34,2.73,51.78
0.32,Premium,I,SI1,554,4.39,4.34,2.74,52.2
0.32,Ideal,I,SI1,554,4.37,4.35,2.72,51.71
0.32,Premium,I,SI1,554,4.39,4.36,2.67,51.1
0.32,Very Good,I,SI1,554,4.39,4.36,2.76,52.83
0.32,Ideal,I,SI1,554,4.47,4.42,2.7,53.34
0.3,Premium,H,SI1,554,4.31,4.29,2.62,48.44
0.3,Premium,H,SI1,554,4.41,4.38,2.64,50.99
0.3,Very Good,H,SI1,554,4.29,4.27,2.71,49.64
0.3,Good,H,SI1,554,4.26,4.2,2.7,48.31
0.3,Ideal,H,SI1,554,4.27,4.22,2.67,48.11
0.3,Very Good,H,SI1,554,4.25,4.23,2.69,48.36
0.32,Good,I,SI1,554,4.36,4.34,2.78,52.6
0.33,Ideal,H,SI2,554,4.85,4.79,2.95,68.53
0.29,Very Good,E,VS1,555,4.28,4.33,2.66,49.3
0.29,Very Good,E,VS1,555,4.2,4.25,2.63,46.95
0.31,Very Good,F,SI1,555,4.32,4.35,2.68,50.36
0.34,Ideal,H,VS2,555,4.47,4.5,2.76,55.52
0.34,Ideal,H,VS2,555,4.54,4.57,2.75,57.06
0.34,Ideal,I,VS1,555,4.48,4.52,2.78,56.29
0.34,Ideal,I,VS1,555,4.5,4.53,2.8,57.08
0.3,Ideal,G,VS1,555,4.29,4.31,2.68,49.55
0.29,Ideal,F,VS1,555,4.26,4.31,2.64,48.47
0.35,Ideal,G,SI1,555,4.56,4.58,2.77,57.85
0.43,Very Good,E,I1,555,4.94,5.0,2.9,71.63
0.32,Very Good,F,VS2,556,4.37,4.42,2.7,52.15
0.36,Ideal,I,VS2,556,4.54,4.57,2.82,58.51
0.3,Ideal,G,VS2,556,4.28,4.3,2.66,48.95
0.26,Ideal,E,VS1,556,4.09,4.12,2.52,42.46
